edge_count,edge_share,rank,relationship_type,schema_triple,source_label_count,source_labels,source_labels_key,target_label_count,target_labels,target_labels_key
1075385,0.4437626014408249,1,BELONGS_TO,StatisticalMap -[BELONGS_TO]-> Collection,1,['StatisticalMap'],StatisticalMap,1,['Collection'],Collection
447499,0.18466253516849102,2,HAS_COORDINATE,Publication -[HAS_COORDINATE]-> Coordinate,1,['Publication'],Publication,1,['Coordinate'],Coordinate
358050,0.14775099099009875,3,HAS_TERM,Publication -[HAS_TERM]-> Term,1,['Publication'],Publication,1,['Term'],Term
121261,0.05003891333179826,4,IN_REGION,StatsMap -[IN_REGION]-> BrainRegion,1,['StatsMap'],StatsMap,1,['BrainRegion'],BrainRegion
67785,0.02797179423059306,5,ABOUT,Publication -[ABOUT]-> Concept|OntologyConcept|OnvocClass,1,['Publication'],Publication,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
52117,0.021506321456307716,6,IN_DOMAIN,Task -[IN_DOMAIN]-> Process|ConceptClass,1,['Task'],Task,2,"['Process', 'ConceptClass']",Process|ConceptClass
43958,0.018139472313762776,7,IN_ONVOC,StatsMap -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['StatsMap'],StatsMap,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
35180,0.014517189954005515,8,IN_SPACE,StatsMap -[IN_SPACE]-> TemplateSpace,1,['StatsMap'],StatsMap,1,['TemplateSpace'],TemplateSpace
30880,0.012742775036375506,9,COMPUTED_WITH,StatsMap -[COMPUTED_WITH]-> ModelSpec,1,['StatsMap'],StatsMap,1,['ModelSpec'],ModelSpec
30880,0.012742775036375506,10,GENERATED_FROM,StatsMap -[GENERATED_FROM]-> TaskAnalysis,1,['StatsMap'],StatsMap,1,['TaskAnalysis'],TaskAnalysis
30120,0.012429157516050202,11,DERIVED_FROM,StatsMap -[DERIVED_FROM]-> Contrast|GLMContrast,1,['StatsMap'],StatsMap,2,"['Contrast', 'GLMContrast']",Contrast|GLMContrast
14146,0.005837412424370723,12,HAS_RESOURCE,StatsMap -[HAS_RESOURCE]-> DataResource|OpenNeuro,1,['StatsMap'],StatsMap,2,"['DataResource', 'OpenNeuro']",DataResource|OpenNeuro
12958,0.005347178721546431,13,HAS_TEXT_EMBEDDING,Publication -[HAS_TEXT_EMBEDDING]-> Embedding,1,['Publication'],Publication,1,['Embedding'],Embedding
11062,0.0045647855392612,14,MAPS_TO,Task -[MAPS_TO]-> Task,1,['Task'],Task,1,['Task'],Task
10894,0.004495459561084028,15,IN_ONVOC,Task -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['Task'],Task,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
7331,0.0030251711072431615,16,IN_ONVOC,StatisticalMap -[IN_ONVOC]-> Concept|OntologyConcept|OnvocClass,1,['StatisticalMap'],StatisticalMap,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
4502,0.0018577711532954187,17,MEASURES,StatsMap -[MEASURES]-> Concept,1,['StatsMap'],StatsMap,1,['Concept'],Concept
4142,0.0017092154857729063,18,HAS_VERSION,Tool -[HAS_VERSION]-> ToolVersion,1,['Tool'],Tool,1,['ToolVersion'],ToolVersion
3689,0.001522282937473745,19,ABOUT,DataResource|OpenNeuro -[ABOUT]-> Concept|OntologyConcept|OnvocClass,2,"['DataResource', 'OpenNeuro']",DataResource|OpenNeuro,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
3560,0.0014690504899448446,20,MEASURES,Task -[MEASURES]-> Task,1,['Task'],Task,1,['Task'],Task
3395,0.001400962475663693,21,CITES,Publication -[CITES]-> Publication,1,['Publication'],Publication,1,['Publication'],Publication
3145,0.0012977988176619483,22,MAPS_TO,Concept -[MAPS_TO]-> Concept,1,['Concept'],Concept,1,['Concept'],Concept
2807,0.0011583215520435896,23,ABOUT,Dataset|DataResource -[ABOUT]-> Concept|OntologyConcept|OnvocClass,2,"['Dataset', 'DataResource']",Dataset|DataResource,3,"['Concept', 'OntologyConcept', 'OnvocClass']",Concept|OntologyConcept|OnvocClass
2773,0.0011442912945553523,24,MEASURES,Task -[MEASURES]-> Concept,1,['Task'],Task,1,['Concept'],Concept
2655,0.0010955980479785288,25,SUPPORTS_MODALITY,Tool -[SUPPORTS_MODALITY]-> Modality,1,['Tool'],Tool,1,['Modality'],Modality
2167,0.0008942225875591231,26,IMPLEMENTS_FAMILY,Tool -[IMPLEMENTS_FAMILY]-> TaskFamily,1,['Tool'],Tool,1,['TaskFamily'],TaskFamily
2127,0.000877716402278844,27,IMPLEMENTS_FAMILY,Tool -[IMPLEMENTS_FAMILY]-> ToolFamily,1,['Tool'],Tool,1,['ToolFamily'],ToolFamily
1982,0.0008178814806378321,28,PARTICIPATES_IN,Subject -[PARTICIPATES_IN]-> TaskAnalysis,1,['Subject'],Subject,1,['TaskAnalysis'],TaskAnalysis
1902,0.0007848691100772737,29,SUGGESTS_MEASURES,StatsMap -[SUGGESTS_MEASURES]-> Concept,1,['StatsMap'],StatsMap,1,['Concept'],Concept
