edge_count,edge_share_of_graph_edges,rank,relationship_type,schema_triple,source_label,target_label
1075385,0.4437626014408249,1,BELONGS_TO,StatisticalMap -[BELONGS_TO]-> Collection,StatisticalMap,Collection
447499,0.18466253516849102,2,HAS_COORDINATE,Publication -[HAS_COORDINATE]-> Coordinate,Publication,Coordinate
358050,0.14775099099009875,3,HAS_TERM,Publication -[HAS_TERM]-> Term,Publication,Term
121261,0.05003891333179826,4,IN_REGION,StatsMap -[IN_REGION]-> BrainRegion,StatsMap,BrainRegion
67785,0.02797179423059306,5,ABOUT,Publication -[ABOUT]-> Concept,Publication,Concept
67785,0.02797179423059306,6,ABOUT,Publication -[ABOUT]-> OntologyConcept,Publication,OntologyConcept
67785,0.02797179423059306,7,ABOUT,Publication -[ABOUT]-> OnvocClass,Publication,OnvocClass
52117,0.021506321456307716,8,IN_DOMAIN,Task -[IN_DOMAIN]-> Process,Task,Process
52117,0.021506321456307716,9,IN_DOMAIN,Task -[IN_DOMAIN]-> ConceptClass,Task,ConceptClass
43958,0.018139472313762776,10,IN_ONVOC,StatsMap -[IN_ONVOC]-> Concept,StatsMap,Concept
43958,0.018139472313762776,11,IN_ONVOC,StatsMap -[IN_ONVOC]-> OntologyConcept,StatsMap,OntologyConcept
43958,0.018139472313762776,12,IN_ONVOC,StatsMap -[IN_ONVOC]-> OnvocClass,StatsMap,OnvocClass
35180,0.014517189954005515,13,IN_SPACE,StatsMap -[IN_SPACE]-> TemplateSpace,StatsMap,TemplateSpace
30880,0.012742775036375506,14,COMPUTED_WITH,StatsMap -[COMPUTED_WITH]-> ModelSpec,StatsMap,ModelSpec
30880,0.012742775036375506,15,GENERATED_FROM,StatsMap -[GENERATED_FROM]-> TaskAnalysis,StatsMap,TaskAnalysis
30120,0.012429157516050202,16,DERIVED_FROM,StatsMap -[DERIVED_FROM]-> Contrast,StatsMap,Contrast
30120,0.012429157516050202,17,DERIVED_FROM,StatsMap -[DERIVED_FROM]-> GLMContrast,StatsMap,GLMContrast
14146,0.005837412424370723,18,HAS_RESOURCE,StatsMap -[HAS_RESOURCE]-> DataResource,StatsMap,DataResource
14146,0.005837412424370723,19,HAS_RESOURCE,StatsMap -[HAS_RESOURCE]-> OpenNeuro,StatsMap,OpenNeuro
12958,0.005347178721546431,20,HAS_TEXT_EMBEDDING,Publication -[HAS_TEXT_EMBEDDING]-> Embedding,Publication,Embedding
11062,0.0045647855392612,21,MAPS_TO,Task -[MAPS_TO]-> Task,Task,Task
10894,0.004495459561084028,22,IN_ONVOC,Task -[IN_ONVOC]-> Concept,Task,Concept
10894,0.004495459561084028,23,IN_ONVOC,Task -[IN_ONVOC]-> OntologyConcept,Task,OntologyConcept
10894,0.004495459561084028,24,IN_ONVOC,Task -[IN_ONVOC]-> OnvocClass,Task,OnvocClass
7331,0.0030251711072431615,25,IN_ONVOC,StatisticalMap -[IN_ONVOC]-> Concept,StatisticalMap,Concept
